ID,NAME,ID_CATEGORY_PARRENT,ALIAS
400,Food Sensitivity Remedy,57,Allergy Relief Now Food Sensitivity Remedy
401,OCTINOXATE and ZINC OXIDE,11,jane Be Beautiful
402,Ibuprofen,91,leader ibuprofen
403,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,39,HYDROCODONE BITARTRATE AND ACETAMINOPHEN
404,gadodiamide,90,OMNISCAN
405,Ibuprofen,61,Childrens Ibuprofen
406,carboxymethylcellulose sodium,84,Topcare Lubricating Plus
407,cephalexin,39,Keflex
408,iloperidone,4,Fanapt
409,oritavancin,75,Orbactiv
410,PHENYLEPHRINE HYDROCHLORIDE,58,EB306 NASAL DECONGESTANT
411,Bald Cypress,50,Bald Cypress
412,Gabapentin,36,Gabapentin
413,Octinoxate,74,Bain de Soleil
414,Amoxicillin and Clavulanate Potassium,54,Amoxicillin and Clavulanate Potassium
415,phenylephrine hydrochloride,44,phenylephrine hydrochloride
416,Adalimumab,93,Humira
417,CARBON DIOXIDE,40,CARBON DIOXIDE
418,Caffeine,48,Equaline Stay Awake
419,"Antimon. crud., Bryonia, Calc.carb., Causticum, Dulcamara, Graphites, Lycopodium, Merc. sulph. rub., Nat. carb., Nitricum ac., Nux vom., Rhus toxicodendron, Sabina, Sepia, Silicea, Staphysag., Sulphur, Thuja occ., Taraxacum",80,Warts - Moles - Skin Tags
420,Goldenrod,9,SOLIDAGO CANADENSIS POLLEN
421,Aluminum Zirconium Tetrachlorohydrex GLY,8,Dove Men plus Care
422,OXYGEN,59,OXYGEN
423,Sweet Potato,20,POTATO
424,NATRUM PHOSPHORICUM,96,NATRUM PHOSPHORICUM
425,RANITIDINE,29,RANITIDINE
426,Dextromethorphan Hydrobromide and Guaifenesin,73,Mucus Relief DM
427,Octinoxate and Oxybenzone,20,LBEL Couleur Luxe Rouge Amplifier XP amplifying SPF 15
428,"Piperonyl butoxide, Pyrethrum extract",87,lice killing
429,Hydrogen Peroxide,2,Hydrogen Peroxide
430,"Metronidazole Topical Cream, 0.75%",100,Metronidazole
431,Nabumetone,68,Nabumetone
432,Quinapril Hydrochloride and Hydrochlorothiazide,3,Quinapril Hydrochloride and Hydrochlorothiazide
433,Leuprolide Acetate,94,Leuprolide Acetate
434,Ibuprofen,51,Henry Schein Ibuprofen
435,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate, Phenylephrine HCl",99,Daytime Nighttime
436,Ursodiol,76,Urso 250
437,Lisinopril,71,Lisinopril
438,Hydrocodone Bitartrate and Acetaminophen,63,Hydrocodone Bitartrate and Acetaminophen
439,ONDANSETRON HYDROCHLORIDE,23,Ondansetron
440,ALCOHOL,74,ANTISEPTIC HAND GEL
441,Natural Medicine,90,Anxiety and Nervousness
442,Isosorbide Dinitrate,1,Isosorbide
443,Ibuprofen,79,Health Mart Childrens Ibuprofen
444,Cyclobenzaprine Hydrochloride,64,AMRIX
445,VANCOMYCIN HYDROCHLORIDE,19,Vancomycin Hydrochloride
446,dextromethorphan polistirex,94,Smart Sense Cough DM
447,Etodolac,61,Etodolac
448,OCTINOXATE and TITANIUM DIOXIDE,4,NARS FOUNDATION
449,risperidone,28,risperidone
450,Dermatophagoides pteronyssinus,10,Allergenic Extracts Standardized Mite
451,Tranexamic Acid,20,Tranexamic Acid
452,AVOBENZONE HOMOSALATE OCTISALATE OCTOCRYLENE OXYBENZONE,23,Rite Aid RENEWAL
453,panthenol,69,Scal tonic shampoo
454,estradiol,78,Estradiol
455,"Avobenzone, Ensulizole, Octinoxate, Octocrylene",60,Karanja Tree Sunshield SPF 30
456,AVOBENZONE OCTINOXATE OXYBENZONE,12,DAY C
457,"OCTINOXATE, OXYBENZONE, TITANIUM DIOXIDE",43,LINGERIE DE PEAU BB INVISIBLE SKIN-FUSION MULTI-PERFECTING MAKEUP WITH SUNSCREEN BROAD SPECTRUM SPF 30 MEDIUM
458,Salicylic acid,3,Salex
459,"Dextromethorphan,Chlorpheniramine Maleate, Phenylephrine",35,Bio-B Kids
460,amlodipine besylate and atorvastatin calcium,54,Caduet
461,Sodium Fluoride,25,Ionite APF
462,Calcium carbonate,50,topcare antacid calcium
463,panthenol,94,Born Hair
464,Flurazepam Hydrochloride,55,Flurazepam
465,Albuterol Sulfate,84,Albuterol Sulfate
466,Bisacodyl,14,Bisacodyl
467,imipenem and cilastatin sodium,24,PRIMAXIN
468,Acne Treatment,93,Actiogen Acne Dots Treatment
469,Isoniazid,91,Isoniazid
470,ethynodiol diacetate and ethinyl estradiol,80,Kelnor 1/35
471,Docusate Sodium,46,Docusate Sodium
472,Oxygen,78,Oxygen
473,leuprolide acetate and norethindrone acetate,22,Lupaneta Pack
474,Minoxidil,20,hair regrowth treatment for men
475,acarbose,94,acarbose
476,Sodium Fluoride,17,Crest Pro-Health
477,Docusate sodium,49,Colace
478,buprenorphine,31,Butrans
479,Metoprolol tartrate,86,Metoprolol Tartrate
480,Norethindrone Acetate and Ethinyl Estradiol and Ferrous Fumarate,3,Microgestin Fe
481,CLADOSPORIUM SPHAEROSPERMUM,72,CLADOSPORIUM SPHAEROSPERMUM
482,Titanium Dioxide and Zinc Oxide,67,BareMinerals Tan Matte
483,Furosemide,7,Furosemide
484,CLADOSPORIUM SPHAEROSPERMUM,84,CLADOSPORIUM SPHAEROSPERMUM
485,Standardized Short Ragweed Pollen,51,Standardized Short Ragweed Pollen
486,trientine hydrochloride,34,Syprine
487,HYDROCORTISONE,2,HYDROCORTISONE
488,"Oxybenzone, Octinoxate, Petrolatum",15,Care One Moisture SPF 15 Lip Balm
489,Betula nigra,90,River/Red Birch Pollen
490,Heal Grief,56,Heal Grief
491,"Sarsaparilla, UvaUrsi, Arsenicum Album, Cantharis, Pareira Brava, Pulsatilla, Sepia, Terebinthina, Populus Tremuloides",88,Cystotone
492,INDOMETHACIN,33,Indomethacin
493,Bisoprolol Fumarate,71,Bisoprolol Fumarate
494,Fenofibrate,60,Fenofibrate
495,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",84,Cold and Flu
496,Titanium Dioxide and Zinc Oxide,11,Neutrogena Sensitive Skin Sunblock
497,levetiracetam,76,Keppra
498,Estazolam,71,Estazolam
499,"Agnus castus, Angelica sinensis radix, Apis mellifica, Aralia quinquefolia, Arnica montana, Cimicifuga racemosa, Galium aparine, Glycyrrhiza glabra, Oophorinum suis, Sepia, Thuja occidentalis, Viscum album,",20,Menopause
500,alcaftadine,92,LASTACAFT
501,Echinacea Argentum,62,Echinacea Argentum
502,chloroxylenol,100,Clean Force
503,"Sodium Phosphate Monobasic, Sodium Phosphate Dibasic",27,Saline Enema
504,TOBRAMYCIN SULFATE,81,Tobramycin
505,"Condurango, Echinacea, Ginkgo biloba, Hydrastis canadensis, Myrrha, OSHA, Phytolacca decandra, Tabebuia impetiginosa, Propolis, Glandula suprarenalis suis, Spleen (suis), Thymus (suis), Thyroidinum (suis), Gelsemium sempervirens,",12,Nerve Z
506,Acetaminophen and Diphenhydramine,39,Percogesic Original Strength
507,"Elm, American Ulmus americana",79,"Pollens - Trees, Elm, American Ulmus americana"
508,sotalol hydrochloride,98,Sotalol Hydrochloride
509,levothyroxine sodium,36,Levoxyl
510,Loperamide Hydrochloride,80,Loperamide Hydrochloride
511,CARISOPRODOL,12,CARISOPRODOL
512,OXYGEN,42,OXYGEN
513,Ibuprofen,53,Ibuprofen
514,Aluminum Zirconium Tetrachlorohydrex GLY,99,Dove
515,"Aethusa cynapium, Calcarea carbonica, Cucurbita pepo, semen, Gambogia, Histaminum hydrochloricum, Hydrastis canadensis, Lycopodium clavatum, Natrum carbonicum, Nitricum acidum, Nux vomica, Ovi gallinae pellicula, Phosphorus, Pulsatilla, Sulphur",14,Food Intolerances
516,Lisinopril and Hydrochlorothiazide,31,Lisinopril with Hydrochlorothiazide
517,Hydrochlorothiazide,13,Hydrochlorothiazide
518,Sumatriptan Succinate,25,Sumatriptan Succinate
519,carbidopa and levodopa,19,SINEMET
520,Titanium Dioxide and Zinc Oxide,42,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen
521,Avobenzone and Octinoxate,53,MANGO BUTTER LIPSTICK
522,clindamycin phosphate,75,Cleocin Phosphate
523,Anastrozole,32,Anastrozole
524,TITANIUM DIOXIDE,47,MISSHA M WATERY B.B
525,Dicyclomine Hydrochloride,12,Dicyclomine
526,Warfarin Sodium,33,Warfarin Sodium
527,"Ensulizole, Octinoxate, Octocrylene, and Oxybenzone",7,NARS PRO-PRIME MULTI-PROTECT PRIMER
528,Nicotine,14,Nicotine
529,Acetaminophen,75,Extra Strength Pain Reliever
530,Montelukast Sodium,21,Montelukast Sodium
531,"acetaminophen, phenylephrine HCl",28,ROBITUSSIN PEAK COLD NASAL RELIEF
532,Levothyroxine Sodium,48,Levothyroxine Sodium
533,ATORVASTATIN CALCIUM,33,Lipitor
534,Bismuth subsalicylate,11,healthy accents stomach relief
535,Octinoxate and Octocrylene,64,SHISEIDO
536,Oxygen,41,Oxygen
537,DIMETHICONE,94,M WOMANS EROS BODY GLIDE
538,Haloperidol,75,Haloperidol
539,Shrimp Crago sp.,81,"Food - Fish and Shellfish, Shrimp Crago sp."
540,Heparin Sodium,43,Heparin Sodium
541,HYDROCODONE BITARTRATE,34,Vicodin
542,SIMETHICONE,30,Gas Relief
543,Titanium Dioxide and Zinc Oxide,45,Ready Foundation
544,Metformin Hydrochloride,84,Riomet
545,glipizide,96,Glipizide
546,"Acetaminophen, Diphenhydramine HCl",19,rx act pain relief pm
547,Betamethasone Dipropionate,100,Betamethasone Dipropionate
548,"Clindamycin, Benzoyl Peroxide",4,clindamycin phosphate and benzoyl peroxide
549,Norgestimate and Ethinyl Estradiol,63,Norgestimate and Ethinyl Estradiol
550,"hydrocodone bitartrate, acetaminophen",100,Lorcet 10/650
551,CANDIDA ALBICANS,86,CANDIDA ALBICANS
552,Hackberry,10,Hackberry
553,PETROLATUM,55,Allure Creamy Petroleum
554,Alcohol,14,Pier 1 Imports Lily blossom Anti-Bacterial Hand Sanitizer
555,VECURONIUM BROMIDE,16,VECURONIUM BROMIDE
556,meclizine hydrochloride,51,Meclizine Hydrochloride
557,PRAVASTATIN SODIUM,16,PRAVACHOL
558,"AVOBENZONE, OCTINOXATE, OCTOCRYLENE",65,Sephora 8hr Mattifying Moisturizer Sunscreen Broad Spectrum SPF 20
559,Propranolol,53,Propranolol
560,rufinamide,98,Banzel
561,MAGNESIUM HYDROXIDE,78,Milk of Magnesia Original
562,Sodium Citrate and Citric Acid,4,Cytra-2
563,Nicotine Polacrilex,37,good neighbor pharmacy nicotine
564,felodipine,25,Felodipine
565,ROPIVACAINE HYDROCHLORIDE,29,Ropivacaine Hydrochloride
566,Fexofenadine HCl,31,Fexofenadine Hydrochloride
567,estradiol valerate,34,Delestrogen
568,Phenylephrine Hydrochloride,37,Nasal Decongestant PE
569,Ofloxaxin,3,Ofloxacin
570,Robitussin,52,Tussin Original
571,"avobenzone, homosalate,octisalate",99,NO-AD 15 Sunscreen
572,isosorbide dinitrate,84,Isosorbide Dinitrate
573,SALICYLIC ACID,82,CVS Daily Pore Clearing Pads
574,Topiramate,23,Topiramate
575,"POLYETHYLENE GLYCOL 400, PROPYLENE GLYCOL",1,EQUATE LUBRICANT EYE DROPS
576,Standardized Redtop Grass Pollen,28,Standardized Redtop Grass Pollen
577,"Dextromethorphan HBr, Guaifenesin, Phenylephrine",28,Multi Symptom Cold Relief CF
578,Oxygen,67,Oxygen
579,Tree Mix 6,89,"Pollens - Trees, Tree Mix 6"
580,White Petrolatum,9,Petroleum Skin Protectant
581,Dexamethasone,19,ZEMA PAK
582,Oxygen,83,Oxygen
583,hydrocortisone sodium succinate,4,SOLU-CORTEF
584,Octinoxate and Avobenzone,19,No7 Time Resisting Day Cream Sunscreen SPF 12
585,Pantoprazole Sodium,59,Pantoprazole Sodium
586,Capsaicin,100,Invisible Pain
587,"Chlorpheniramine maleate, Phenylephrine HCl",10,cold and allergy
588,Ibuprofen,91,ibuprofen
589,Sumatriptan Succinate,41,Sumatriptan Succinate
590,Clobetasol propionate,27,Clobetasol Propionate
591,Tizanidine,22,Tizanidine
592,ARIPIPRAZOLE,35,ABILIFY
593,HYDROCORTISONE,17,HYDROCORTISONE
594,Oxygen,19,Oxygen
595,Fentanyl Citrate,50,Fentanyl Citrate
596,ONDANSETRON,98,ONDANSETRON
597,Female Balance,24,Female Balance
598,Benzalkonium Chloride,69,OB Cleansing Towelette
599,Titanium dioxide,74,SHISEIDO THE MAKEUP FOUNDATION
600,Antifungal Liquid Spray,38,Tolnaftate
601,Tobramycin and Dexamethasone,37,Tobramycin and Dexamethasone
602,METHYLPHENIDATE HYDROCHLORIDE,75,METHYLPHENIDATE
603,"Octinoxate, Octisalate, Oxybenzone",31,Pure Tan Skin Defense Makeup SPF 15
604,Trazodone Hydrochloride,13,Trazodone Hydrochloride
605,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, HISTIDINE, PROLINE, SERINE, TYROSINE, GLYCINE, SODIUM CHLORIDE, MAGNESIUM CHLORIDE, SODIUM PHOSPHATE, DIBASIC, and POTASSIUM CHLORIDE",69,Aminosyn
606,Povidone-iodine,25,Aplicare Povidone-iodine Scrub
607,White Petrolatum,75,White Petrolatum
608,Bur Oak,26,Bur Oak
609,Articaine hydrochloride and Epinephrine Bitartrate,22,Articadent
610,CEFTRIAXONE,56,CEFTRIAXONE
611,fentanyl transdermal system,88,FENTANYL TRANSDERMAL SYSTEM
612,loperamide HCl,16,loperamide hydrochloride
613,"Acetaminophen, Phenylephrine HCl, Dextromethorphan HBr and Guiafenesin",41,Aspirin Free Cold Head Congestion Day Time
614,GEMCITABINE HYDROCHLORIDE,42,GEMCITABINE HYDROCHLORIDE
615,Lamotrigine,96,Lamotrigine
616,"Berberis vulgaris, Bryonia alba, Carduus marianus, Chelidonium majus, Cholesterinum, Chichona officinalis, Colocynthis, Dioscorea villosa, Lycopodium clavatum, Natrum sulphuricum",90,Gallbladder Dr.
617,oxybutynin chloride,84,Oxybutynin Chloride
618,glucagon,7,Glucagon
619,meloxicam,15,meloxicam
620,OCTINOXATE and TITANIUM DIOXIDE,99,LES BEIGES
621,LOBELIA INFLATA,14,Cough Hay Fever
622,Naproxen,49,Naproxen
623,Fentanyl,50,Fentanyl
624,docusate sodium and sennosides,35,Stool Softener plus Stimulant Laxative
625,HALOPERIDOL,59,HALOPERIDOL
626,PERPHENAZINE,87,Perphenazine
627,"Aconitum napellus, Apis mellifica, Arnica montana, Cartilage porcine, Hydrastis canadensis, Hypericum perforatum, Rhus toxicodendron, Thuja occidentalis,",89,Anit-Inflammatory
628,"Human Papillomavirus Quadrivalent (Types 6, 11, 16, and 18) Vaccine, Recombinant",70,GARDASIL
629,stannous fluoride,30,PerioMed
630,Nicotine,65,Nicotine Transdermal System
631,calcitriol,74,calcitriol
632,Triclosan,48,Shopko Antibacterial Deep Cleansing Hand
633,Octinoxate and Oxybenzone,69,LBEL COULEUR LUXE AMPLIFIER XP
634,Metformin Hydrochloride,19,Metformin Hydrochloride
635,CETYLPYRIDINIUM CHLORIDE,66,Colgate Total
636,ethacrynic acid,98,EDECRIN
637,PREDNISOLONE SODIUM PHOSPHATE,8,PREDNISOLONE SODIUM PHOSPHATE
638,HEPARIN SODIUM,27,Heparin Sodium
639,nystatin,64,Nystatin
640,Alprazolam,56,Alprazolam
641,"Aluminum Hydroxide, Magnesium Hydroxide, Simethicone",100,Leader Antacid
642,Oxygen,6,Oxygen
643,Valacyclovir Hydrochloride,15,Valacyclovir Hydrochloride
644,Undecylenic Acid,21,Fiore Rx Pink Peppermint Pie Antifungal Nail Polish
645,Beef,12,Beef
646,Moexipril Hydrochloride and Hydrochlorothiazide,6,Moexipril Hydrochloride and Hydrochlorothiazide
647,MUCOR PLUMBEUS,91,MUCOR PLUMBEUS
648,Rasagiline Mesylate,9,Azilect
649,MENTHOL,14,LEADER Cough Drops Menthol Flavor
650,Oxymorphone hydrochloride,56,Oxymorphone hydrochloride
651,"Carduus marianus, Chelidonium majus, Taraxacum officinale, Chionanthus virginica, Quassia amara, Hepar bovinum,",79,Liver Tonic
652,Potassium Iodide,72,IOSAT
653,Glycerin,32,PLAGENTRA MOTHERS BELLY
654,eurotium herbariorum,34,ASPERGILLUS GLAUCUS
655,OXYGEN,16,OXYGEN
656,Allergenic Extracts Alum Precipitated,73,CENTER-AL - ALNUS INCANA SSP. RUGOSA POLLEN
657,Dexamethasone,92,Dexamethasone
658,Dexamethasone Sodium Phosphate,79,Dexamethasone Sodium Phosphate
659,"Aluminum hydroxide, Magnesium hydroxide, Simethicone",1,antacid cherry flavored
660,Arnica Aurum 6/10,16,Arnica Aurum 6/10
661,alprazolam,89,Alprazolam
662,MENTHOL,38,Coralite Extra Strength Menthol Pain Relief Sleeve - KNEE
663,carvedilol,77,COREG
664,amlodipine besylate and atorvastatin calcium,14,Amlodipine besylate and Atorvastatin calcium
665,paroxetine hydrochloride,96,PAXIL
666,Tramadol Hydrochloride,91,Tramadol Hydrochloride
667,OCTINOXATE and OXYBENZONE,92,Prevage Anti Aging Eye Sunscreen SPF 15
668,Corn Pollen,37,ZEA MAYS POLLEN
669,Black Willow,99,Black Willow
670,"Zinc Oxide,Octinaxade,Octisalate",34,Total Protector 30
671,Oxymetazoline HCl,71,nasal
672,Verapamil Hydrochloride,1,Verapamil Hydrochloride
673,"OCTINOXATE, TITANIUM DIOXIDE",38,Capture Totale Radiance Restoring Serum Foundation SPF 15 040
674,Glipizide,5,Glipizide
675,COFFEA CRUDA,1,COFFEA CRUDA
676,Chicken Meat,23,Chicken Meat
677,AVOBENZONE OCTINOXATE OXYBENZONE,17,DAY C
678,Titanium Dioxide and Octinoxate,22,Eve Lom Radiance Perfected Tinted Moisturiser Broad Spectrum SPF 15 Sunscreen
679,Promethazine Hydrochloride,86,Promethazine Hydrochloride
680,TITANIUM DIOXIDE,57,CITY STICK
681,Aluminum Chlorohydrate,57,Ban
682,Hydroquinone,51,Topiclear Carrot
683,Titanium dioxide,18,SHISEIDO ADVANCED HYDRO-LIQUID COMPACT (REFILL)
684,"bacitracin zinc,neomycin sulfate, polymyxin b sulfate, pramoxine hcl",16,Triple Antibiotic Plus
685,"OCTINOXATE, OCTOCRYLENE, and TITANIUM DIOXIDE",19,SHISEIDO SHEER AND PERFECT COMPACT (REFILL)
686,"TITANIUM DIOXIDE, ZINC OXIDE",81,SEPHORA Skin Perfect CC Sunscreen Broad Spectrum SPF 20 DEEP
687,ABSINTHIUM,29,ABSINTHIUM
688,alcohol,18,Clorox Care Concepts Antimicrobial
689,TRIAMCINOLONE ACETONIDE,82,KENALOG-40
690,Torsemide,46,Torsemide
691,Phenol,24,Castellani Paint
692,ALLANTOIN,76,By Pharmicell Lab Luxury Cell Performance Toner
693,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",59,night time cold and flu
694,Amlodipine Besylate,1,Amlodipine Besylate
695,Valacyclovir,97,Valacyclovir
696,SIMETHICONE,73,Gas Relief
697,"Cocculus 30C, Nux Vomica 30C, Borax 6C",34,Kids Travel Sickness
698,Rocuronium Bromide,76,Rocuronium Bromide
699,"Avobenzone, Octinoxate, Octisalate, and Oxybenzone",72,Linea Jose Ignacio Sunscreen Broad Spectrum SPF30
700,Miconazole Nitrate,92,THERA Antifungal Body
701,"Titanium Dioxide, OCTINOXATE",89,Sooryehan Dabityoon Jiyoon Two way cake 23
702,Calcium carbonate,32,good sense antacid
703,"OCTINOXATE, OCTISALATE, OXYBENZONE",66,LBEL HYDRA CALME SPF 15 Intensive Moisturizing Facial
704,Olive Pollen,49,Olive Pollen
705,Acetaminophen,29,Aspirin free
706,"Leucine, Phenylalanine, Lysine, Methionine, Isoleucine, Valine, Histidine, Threonine, Tryptophan, Alanine, Glycine, Arginine, Proline, Serine, Tyrosine, Dextrose",32,CLINIMIX
707,Doxorubicin Hydrochloride,74,Doxorubicin Hydrochloride
708,Sumatriptan Succinate,96,Sumatriptan Succinate
709,Cedar Mountain,42,JUNIPERUS ASHEI POLLEN
710,brimonidine tartrate,23,ALPHAGAN P
711,Lisinopril,99,Lisinopril
712,"Agrimony, Arg nit, Calendula, Euphrasia",44,Conjunct-a-Clear Wash
713,Morphine Sulfate,87,Morphine Sulfate
714,norgestimate and ethinyl estradiol,51,Tri-Sprintec
715,testosterone,55,Testim
716,Phentermine Hydrochloride,77,Phentermine Hydrochloride
717,BIOTIN,98,SPAI-SONS
718,"METHYL SALICYLATE, MENTHOL, CAPSAICIN",95,Reliaderm
719,Ceftriaxone Sodium,61,Ceftriaxone Sodium
720,Bisacodyl,16,Womens Gentle Laxative
721,"undecylenic acid, zinc undecylenate",47,Undesine
722,Benzphetamine Hydrochloride,30,Benzphetamine Hydrochloride
723,Menthol,99,Biofreeze
724,Allantoin,62,SBS 40
725,Piperacillin and Tazobactam,25,Piperacillin and Tazobactam
726,Valproic Acid,2,Valproic
727,Zonisamide,14,Zonisamide
728,"CAMPHOR, CAPSAICIN and MENTHOL",30,Dr. OH BALM
729,Haloperidol,43,Haloperidol
730,CYCLOBENZAPRINE HYDROCHLORIDE,74,CYCLOBENZAPRINE HYROCHLORIDE
731,cyclobenzaprine hydrochloride,33,cyclobenzaprine hydrochloride
732,prednisolone sodium phosphate,92,Orapred
733,pioglitazone,31,Pioglitazone
734,Naproxen,75,Naproxen
735,Doxorubicin Hydrochloride,34,Doxorubicin Hydrochloride
736,ergocalciferol,70,VITAMIN D
737,abciximab,66,REOPRO
738,Tizanidine,71,Tizanidine
739,Insulin lispro,15,Humalog
740,clindamycin phosphate,98,Clindamycin Phosphate
741,DIMETHICONE,69,EROS ANAL SILICONE GLIDE
742,Octinoxate and Titanium Dioxide,21,Buxom Show Some Skin Weightless Foundation Broad Spectrum SPF 30
743,Aluminum Zirconium Tricholorohydrex GLY,9,Sure Original Solid Regular
744,APIUM GRAVEOLENS,88,APIUM GRAVEOLENS
745,"Acetylcholine chloride, Acetaldehyde, Apiolum, Ascorbic acid, BHT, Caffeic acid, Candida albicans, Chlorogenic acid, Cinnamic acid, Coniferyl Alcohol, Coumarin, Dopamine, Estrogen, GABA, Gallic acid, Histamine, Indole, L-Dopa, Malvin, Mannan, Melatonin, Menadione, Norepinephrine, Octopamine, Phenylalanine, Phenyli-sothiocyanate, Phlorizin, Piperine, Progesterone, Pyrrole, Quercetin, Rutin, Salsolinol, Serotonin, Taurine, Testosterone, Tryptophan",8,BioPhenolics
746,FLUOXETINE,85,FLUOXETINE
747,Meclizine Hydrochloride,10,MECLIZINE HYDROCHLORIDE
748,"Drosera rotundifolia, Coccus cacti, Spongia tosta, Belladonna, Cuprum aceticum, Kali carbonicum, Mentha piperita, Phosphorus,",21,Cough
749,Calcium Acetate,18,Calcium Acetate
750,Carvedilol,15,Carvedilol
751,Titanium dioxide,91,ADVANCED HYDRO-LIQUID COMPACT (REFILL)
752,Phenylephrine HCl,57,Nasal Decongestant PE
753,azathioprine,78,IMURAN
754,Pioglitazone,73,Pioglitazone
755,"dextromethorphan HBr, guaifenesin, phenylephrine HCl",54,childrens mucus relief multi symptom cold
756,pramoxine hydrochloride,18,PROCTOFOAM
757,Sodium Fluoride,99,Topical 60 Sec Sodium Fluoride
758,BENZETHONIUM CHLORIDE,1,Sani Guard Alcohol Free
759,Atorvastatin Calcium,86,Atorvastatin Calcium
760,Russian Thistle,15,SALSOLA KALI POLLEN
761,"Eucalyptol, menthol, methyl salicylate, thymol",73,Antispetic
762,Naratriptan,87,Naratriptan
763,Octinoxate and Oxybenzone,27,LBEL Couleur luxe rouge irresistible maximum hydration SPF 17
764,"OCTINOXATE, TITANIUM DIOXIDE, and ZINC OXIDE",4,Sulwhasoo Lumitouch Foundation
765,Minoxidil,44,Good Sense Hair Regrowth Treatment
766,Amoxicillin and Clavulanate Potassium,84,Amoxicillin and Clavulanate Potassium
767,Ibuprofen,55,ibuprofen
768,Ipratropium Bromide,87,Ipratropium Bromide
769,"RIMANTADINE HYDROCHLORIDE, ARGININE",81,Rimantalist
770,PREDNISOLONE,86,MILLIPRED
771,Alendronate Sodium,57,Alendronate Sodium
772,IBUPROFEN,66,PROBUFEN
773,CleanWell Natural Original Hand Sanitizer Wipes,38,CleanWell Natural Original Hand Sanitizer Wipes
774,deferasirox,25,Exjade
775,Albumin (Human),37,Albuked
776,Metoprolol succinate,76,TOPROL
777,Gabapentin,72,Gabapentin
778,Fluconazole,80,Fluconazole
779,Atenolol,22,Atenolol
780,Fluoride,46,Topco Associates LLC
781,Treatment Set TS332499,16,Treatment Set TS332499
782,APIS MELLIFERA and BAPTISIA TINCTORIA ROOT and SOLANUM DULCAMARA STEM and EUCALYPTUS GLOBULUS LEAF and SOLANUM NIGRUM WHOLE and TOXICODENDRON PUBESCENS LEAF and EUPATORIUM CANNABINUM and ARNICA MONTAN,53,Arnica-Heel
783,"OCTINOXATE, OCTISALATE, and OXYBENZONE",85,Proactiv Sheer Tint Moisture
784,Oxycodone and Acetaminophen,73,Oxycodone and Acetaminophen
785,Athlete s Foot Spray,89,Miconazole Nitrate
786,ALCOHOL,40,Body Luxuries Lotus Flower Scented Waterless Anti Bacterial Hand gel
787,white petrolatum mineral oil,13,Soothe Night Time
788,DIPHENHYDRAMINE HYDROCHLORIDE,82,DIPHENHYDRAMINE HYDROCHLORIDE
789,fluticasone propionate and salmeterol,24,ADVAIR
790,Camphor (Synthetic) and Menthol,34,Tiger Balm White
791,Aspirin and Caffeine,6,Regular Strength Aspirin
792,Alcohol,66,Moist SURE
793,Menthol and Pectin,66,Sucrets
794,Promethazine Hydrochloride,1,Promethazine Hydrochloride
795,CEFTRIAXONE,66,CEFTRIAXONE
796,Quetiapine fumarate,25,Quetiapine fumarate
797,NOT APPLICABLE,50,BAC
798,clopidogrel bisulfate,64,Clopidogrel
799,OCTINOXATE and TITANIUM DIOXIDE,93,SHISEIDO THE MAKEUP LIFTING FOUNDATION
800,Fentanyl,76,Fentanyl
801,ETHYL ALCOHOL,31,Angel Falls Hand Sanitizer
802,Promethazine and Phenylephrine,5,Promethazine Hydrochloride and Phenylephrine Hydrochloride
803,Glipizide,7,Glipizide
804,Benzoyl Peroxide,97,Proactiv Repairing Treatment
805,Ondansetron,99,Ondansetron
806,Diphenhydramine Hydrochloride,18,wal dryl allergy
807,Cyclobenzaprine Hydrochloride,92,AMRIX
808,Hydrocodone Bitartrate and Acetaminophen,55,Hydrocodone Bitartrate and Acetaminophen
809,TOLNAFTATE,38,SMART SENSE TOLNFTATE ANTIFUNGAL
810,Methocarbamol,64,Methocarbamol
811,"OCTINOXATE, TITANIUM DIOXIDE, and ZINC OXIDE",50,IOPE Air Cushion
812,Treatment Set TS332340,91,Treatment Set TS332340
813,TALC,30,Pan Aromas Baby
814,Ibuprofen,40,Childrens Ibuprofen
815,MENTHOL AND METHYL SALICYLATE,58,MENTHOL AND METHYL SALICYLATE
816,Hydroquinone,46,hydroquinone time release
817,FELODIPINE,47,FELODIPINE
818,Ensulizole and Octinoxate,67,Neutrogena Healthy Skin Anti Wrinkle
819,Tacrolimus,78,Tacrolimus
820,Diphenhydramine HCl,54,Allergy Complete Relief
821,"Fucus, Vesiculosus, Thyroidinum (Suis), Spongia Tosta",85,Wholistic Thyroid Balance
822,Metaproterenol Sulfate,77,Metaproterenol Sulfate
823,Ammonium Lactate,13,Ammonium Lactate
824,PILOCARPINE HYDROCHLORIDE,33,Pilocarpine Hydrochloride
825,Prednisone,49,Prednisone
826,FENTANYL CITRATE,94,FENTANYL CITRATE
827,Lamotrigine,80,Lamotrigine
828,Dextromethorphan,53,Delsym
829,PHENYTOIN,35,Dilantin
